國文,英文,數學,社會,自然
9,8,9,11,6
12,7,10,10,9
9,6,7,11,10
10,10,13,6,10
15,7,11,10,9
8,11,7,8,6
14,13,13,13,13
6,7,14,9,15
13,14,15,10,11
13,12,10,9,7
8,10,15,13,8
15,14,6,9,13
8,14,14,15,7
15,15,14,11,12
12,11,9,13,8
10,8,14,15,8
11,15,10,8,6
10,12,14,10,13
8,9,12,13,9
8,10,14,9,7
7,15,8,15,13
9,15,11,15,12
13,14,13,14,14
13,15,15,9,10
8,10,8,15,12
9,13,12,8,10
9,14,11,12,11
14,10,10,12,10
10,8,15,13,10
8,10,14,12,9
9,13,13,10,6
9,9,10,15,15
15,12,9,15,7
14,13,15,12,10
11,9,14,10,11
7,6,9,8,10
10,14,14,13,6
6,12,13,6,15
10,14,11,10,8
12,8,9,9,14
11,11,15,6,10
12,11,12,6,15
6,6,9,10,7
15,14,11,10,9
12,14,6,14,9
8,15,11,7,12
13,11,12,7,15
6,12,10,12,7
14,12,10,15,9
7,7,6,11,9
14,8,8,13,12
13,9,8,12,7
13,13,14,6,11
7,8,15,8,9
6,7,9,12,12
12,10,12,8,14
9,7,9,13,15
14,11,15,14,8
12,13,13,11,15
9,12,9,11,7
6,12,8,15,12
10,9,6,7,7
12,10,13,14,10
13,12,12,13,11
10,13,9,15,14
6,13,13,11,10
13,10,7,10,9
10,6,6,8,11
7,8,10,10,8
12,15,8,14,7
12,15,9,9,15
15,14,11,11,7
8,9,8,14,7
6,10,9,10,11
9,6,13,11,13
14,8,15,14,15
15,14,12,7,10
11,14,14,9,8
7,8,11,11,10
8,6,14,6,6
15,12,12,10,7
15,10,13,10,14
9,10,11,7,8
8,11,13,6,8
11,6,11,11,7
6,8,10,10,9
15,14,14,15,11
6,9,12,7,11
6,10,6,13,12
6,8,13,7,15
10,10,9,6,15
7,9,15,14,12
6,12,7,8,6
7,10,6,10,8
6,10,6,11,8
8,10,9,12,11
7,10,10,12,11
8,12,11,11,11
12,11,7,13,14
11,13,10,7,10
